no,ci,cr,ct,pn,pl,lus,wc,bf,esd, tcag , afa , gfa , bh ,nb,tfn,nfag,nfbg,ft,dsc,dsho, ca ,dp, ac ,codr,accodr
160,DTU,Assefa Alemu B.C,Ultimate Plan PLC,2 laundary building,Debre Tabor,Urban,Temprate,Washing Basin,No,288,288,288,4.1,2,2,0,0,Open,12/02/2006 E.C,12/02/2006 E.C,4197847.02,18/01/2007 E.C,4456266.48,270.00,336.00
161,DTU,Abay Demissie B.C,MTT Consulting Architectures & Engineer PLC,Indoor Game Lot-B-1G Building,Debre Tabor,Urban,Temprate,Game House,No,"1,909.44","1,222.30","3,666.90",10.2,1,3,2,0,Limited,25/05/2012 E.C,25/05/2012 E.C,64980302.82,05/01/2015 E.C,117207476.74,560.00,955.00
162,DTU,Akwos B.C,MTT Consulting Architectures & Engineer PLC,G+4 Staff Building,Debre Tabor,Urban,Temprate,Office,No,"1,222.68",564.79,"2,823.96",20.63,1,5,4,0,Open,03/06/2014 E.C,03/06/2014 E.C,69579919.80,07/06/2015 E.C,131824157.09,365.00,1087.00
163,S/G/Z/High Court,AWWCE,ARBDCSWE,S/G/Z/High Court Building,Debre Tabor,Urban,Temprate,Court Office,Yes,"2,459.60","1,768.96","8,844.78",16.8,1,5,3,1,Open,05/06/2006 E.C,05/06/2006 E.C,49314817.14,24/06/2012 E.C,77550384.69,1095.00,2190.00
164,S/G/Z/High Court,AWWCE,ARBDCSWE,S/G/Z/High Court Building,Debre Tabor,Urban,Temprate,Court Office,Yes,"2,459.60","1,768.96","8,844.78",16.8,1,5,3,1,Open,05/06/2006 E.C,05/06/2006 E.C,49314817.14,24/06/2012 E.C,77550384.69,1095.00,2190.00
165,ACSI ,Moges Abeje B.C,Getall Consulting PLC,ACSI Building,Sela Dingay,Sub Urban,Hot,Office,No,324.99,269.12,269.12,4.1,1,1,0,0,Open,21/12/2013 E.C,10/01/2014 E.C,7107733.70,30/09/2014 E.C,7855544.40,180.00,260.00
166,ACIS,Moges Abeje B.C,Getall Consulting PLC,ACSI Building,Mehal Meda,Sub Urban,Hot,Office,No,733.01,476.96,476.96,4.2,1,1,0,0,Open,21/12/2013 E.C,11/01/2014 E.C,13843426.74,01/02/2016 E.C,13843426.74,180.00,386.00
167,ANRS Education Bureau,Moges Abeje B.C,Mekidela Consruction PLC,Libo Giyorgis Secondary School,Addis Zemen,Sub Urban,Hot,"Class Room, Office",No,"1,587.18",203.32,"1,423.21",6.15,7,7,0,0,Open,08/06/2015 E.C,15/06/2015 E.C,2901690.47,20/02/2016 E.C,29011690.47,100.00,300.00
168,Amhara ForestEnterprise,Moges Abeje B.C,MVR Construction PLC,Timber Factory,Debre Markos,Urban,Temprate,Office,No,"1,040.48",251.71,"1,006.83",6.6,4,4,0,0,Open,18/01/2015 E.C,20/01/2015 E.C,28354065.29,12/10/2015 E.C,30833028.57,180.00,227.00
169,FDRE Agricultural Transformation Agency,Moges Abeje B.C,North Mecha A/Office,Holticultural Primary Market,Merawi,Sub Urban,Hot,Market Shade,Yes,"3,249.00",583.81,"1,751.43",7.6,3,3,0,0,Open,21/12/2012 E.C,29/12/2012 E.C,5065604.31,09/02/2014 E.C,5724031.69,180.00,410.00
170,ACSI ,Moges Abeje B.C,Sarzna Engineering Construction PLC,G+4 Office Building Construction,Finote Selam,Urban,Hot,Office,Yes,857.6,340.08,"1,700.41",17.2,1,5,4,0,Open,02/09/2013 E.C,17/09/2013 E.C,30921697.44,08/01/2016 E.C,31763486.14,420.00,756.00
171,Baso & Worena wereda health bureau,Moges Abeje B.C,N/S/Z/H/ Department,Gudoberet health center,Baso & Worena,Rural,Temprate,Health Center,No,"1,103.25",336.42,672.84,7.4,1,2,1,0,Open,20/08/2008 E.C,20/09/2008 E.C,4688167.14,20/11/2011 E.C,5009558.49,300.00,1155.00
172,ANRS TVET Bureau,Moges Abeje B.C,East Gojjam Zone technical vocational & enterprise Department D/Markos,Yejubie TVET work shop,Yejubie,Sub Urban,Cold,"work shop, Class Room",No,"1,484.37",425.31,"1,275.93",4.2,3,1,0,0,Open,20/10/2008 E.C,22/10/2008 E.C,7312315.67,3/08/2010 E.C,8033958.79,240.00,620.00
173,Gozamen Woreda Administration,Moges Abeje B.C,E/Gojjam zone urban development housing & construction Department,Gozamen Woreda Administration Office Building,Debre Markos,Urban,Temprate,Office,Yes,"2,564.92","1,308.56","6,542.81",21.5,1,5,3,1,Open,8/8/2012 E.C,10/08/2012 E.C,29716046.90,23/05/2016 E.C,49695148.90,552.00,1375.00
174,Meseta Market Center,Moges Abeje B.C,"Tesseract Architects, Planners & Engineer PLC",Construction of Mixed Use Building,Bahir Dar,Urban,Hot,Mixed Use,No,333.31,267.87,267.87,4.2,1,1,0,0,Open,01/07/2010 E.C,14/07/2010 E.C,4956874.61,23/11/2012 E.C,6498322.75,90.00,850.00
175,ANRS Education Bureau,Tsegaye Abeje G.C,Gonder City Administration,Gondar Administration Zone Airport Secondary School,Gondar,Urban,Temprate,Class Room,No,577.93,311.34,622.68,8,1,2,1,0,Open,09/11/2013 E.C,29/11/2013 E.C,4993171.87,12/04/2016 E.C,8535424.61,120.00,855.00
176,Gindewine TVET Project,Tsegaye Abeje G.C,E/Gojjam zone TVET,Gindewine TVET Project,Gindewine,Sub Urban,Cold,"Class Room, Office",yes,679.43,133.2,532.8,4.2,4,4,0,0,Open,06/09/2007 E.C,27/09/2007 E.C,5269014.74,24/12/2009 E.C,5906204.45,220.00,511.00
